00110111 00110010 00111000 00110000 00110001 00111000 00111001 00110110  ; Quadra I
00110111 00110010 00111000 00110000 00110001 00111001 00110000 00110000  ; Avenida Brasfrigo
00110111 00110010 00111000 00110000 00110010 00110110 00110000 00110101  ; Área 1
00110111 00110010 00111000 00110000 00110010 00110110 00110001 00110000  ; Quadra 3
00110111 00110010 00111000 00110000 00110010 00110110 00110001 00110101  ; Quadra 5
00110111 00110010 00111000 00110000 00110010 00110110 00110010 00110000  ; Quadra 7
00110111 00110010 00111000 00110000 00110010 00110110 00110010 00110101  ; Quadra 9
00110111 00110010 00111000 00110000 00110010 00110110 00110011 00110000  ; Quadra 11
00110111 00110010 00111000 00110000 00110010 00110110 00110011 00110101  ; Quadra 13
00110111 00110010 00111000 00110000 00110010 00110110 00110100 00110000  ; Quadra 15
00110111 00110010 00111000 00110000 00110011 00110000 00110001 00110000  ; Avenida Joventino Rodrigues
00110111 00110010 00111000 00110000 00110011 00110000 00110010 00110000  ; Rua Paraná
00110111 00110010 00111000 00110000 00110011 00110000 00110100 00110000  ; Avenida Marechal Floriano Peixoto
00110111 00110010 00111000 00110000 00110011 00110000 00110100 00110101  ; Praça Almir de Souza Gomes
00110111 00110010 00111000 00110000 00110011 00110000 00110101 00110000  ; Rua Santa Catarina
00110111 00110010 00111000 00110000 00110011 00110000 00110110 00110000  ; Avenida Cardeal Arco Verde
00110111 00110010 00111000 00110000 00110011 00110000 00110111 00110000  ; Rua Mato Grosso
00110111 00110010 00111000 00110000 00110011 00110000 00111000 00110000  ; Rua Rio de Janeiro
00110111 00110010 00111000 00110000 00110011 00110000 00111001 00110000  ; Rua Dom Abel
00110111 00110010 00111000 00110000 00110011 00110001 00110000 00110000  ; Rua Minas Gerais
00110111 00110010 00111000 00110000 00110011 00110001 00110001 00110000  ; Rua São Paulo
00110111 00110010 00111000 00110000 00110011 00110001 00110001 00110101  ; Hélio Rodrigue de Queiroz
00110111 00110010 00111000 00110000 00110011 00110001 00110010 00110000  ; Rua Maranhão
00110111 00110010 00111000 00110000 00110011 00110001 00110011 00110000  ; Rua Ceará
00110111 00110010 00111000 00110000 00110011 00110001 00110100 00110000  ; Rua Bahia
00110111 00110010 00111000 00110000 00110011 00110001 00110100 00110011  ; Rua Valéria Tavares de Lucena
00110111 00110010 00111000 00110000 00110011 00110011 00110001 00110000  ; Avenida Acácia
00110111 00110010 00111000 00110000 00110011 00110011 00110010 00110000  ; Rua São Paulo
00110111 00110010 00111000 00110000 00110011 00110011 00110011 00110000  ; Avenida Hélio Rodrigues
00110111 00110010 00111000 00110000 00110011 00110011 00110100 00110000  ; Rua 01
00110111 00110010 00111000 00110000 00110011 00110011 00110101 00110000  ; Rua Benedito Antônio Morais
00110111 00110010 00111000 00110000 00110011 00110011 00110110 00110000  ; Rua Antônio Vieira Filho
00110111 00110010 00111000 00110000 00110011 00110011 00110111 00110000  ; Rua Helena Rodrigues Pereira
